qpoint_index branchID frequency groupVel_x groupVel_y groupVel_z DOS gruneisen_param
Max bandID: 6
Max qpoint index: 1728
18 2 8.2665225241 20.2284207 20.2284207 98.7389481 0.1028661946 0.2655289747
18 3 16.4243424495 -79.3703362 -79.3703362 39.1096254 0.1126990899 0.9608686214
18 4 22.8463464084 5.3525265 5.3525265 -4.9899175 0.1334619622 1.2651115295
18 5 22.8772546226 5.7498421 5.7498421 5.4792681 0.1437385313 1.2561266366
18 6 25.5552045359 30.2609673 30.2609673 -23.3663893 0.1561861590 1.0852479597
19 1 8.1610315936 15.5552697 15.5552697 34.0391840 0.1734073270 -0.0025860427
19 2 8.6685010803 33.2028483 33.2028483 87.1371174 0.2143703345 0.2484317295
19 3 17.8567660756 -38.6280566 -38.6280566 -9.8276782 0.2881454801 0.9338567977
19 4 22.6680897369 2.4682607 2.4682607 -9.1165429 0.4244367178 1.2816722025
19 5 22.8308618881 5.3274927 5.3274927 10.0301993 0.4666948902 1.2558841033
19 6 25.0304357004 12.9623681 12.9623681 5.4962488 0.4233422066 1.1164671456
20 1 8.0118677584 25.3026810 25.3026810 18.6255401 0.3317027631 -0.0234318393
20 2 8.6752905549 48.3844054 48.3844054 77.2170156 0.2536910115 0.2976975352
20 3 17.5595249274 26.7071659 26.7071659 -69.2614540 0.2054924399 0.9528580785
20 4 22.6295785781 -5.3978333 -5.3978333 -5.0877004 0.1718509283 1.2746528862
20 5 22.9136707551 0.4776084 0.4776084 15.3641902 0.1437527337 1.2513385912
20 6 25.1507764968 -8.0874262 -8.0874262 27.8433208 0.1224006735 1.0995377252
21 1 7.4846560011 38.7988784 38.7988784 3.6308625 0.1070393683 0.0138592643
21 2 8.2868457541 63.1898689 63.1898689 70.7042914 0.0900356931 0.3576381223
21 3 15.6869034689 62.5547344 62.5547344 -102.6503496 0.0660249577 0.9909700844
21 4 22.7273896289 -7.4402393 -7.4402393 -3.4232265 0.0453725078 1.2479378204
21 5 23.0154631362 3.6891528 3.6891528 11.2982045 0.0328991582 1.2419088631
21 6 25.9076965074 -33.2837378 -33.2837378 37.7490859 0.0270610186 1.0646011642
22 1 6.4674818637 56.1418181 56.1418181 -14.5332519 0.0125907516 0.0475893823
22 2 7.5488757926 78.0788441 78.0788441 64.6394784 0.0035897714 0.4701936022
22 3 13.1158077296 83.1493509 83.1493509 -111.8543737 0.0000580779 0.9977657864
22 4 22.8659183804 -8.7109912 -8.7109912 -0.2010877 0.0000000000 1.2087223975
22 5 23.0864555083 -1.0767413 -1.0767413 15.3348229 0.0000000000 1.2130270152
22 6 27.1830668270 -55.7131230 -55.7131230 20.7631330 0.0000000000 1.0505789149
23 1 4.9444645950 70.3868371 70.3868371 -28.0355487 0.0000000000 0.0213889083
23 2 6.3325395750 99.3576903 99.3576903 45.8813031 0.0000000000 0.6302710787
23 3 9.9862724410 122.6670644 122.6670644 -90.8796235 0.0000000000 0.9940621606
23 4 23.0808521357 -10.2915616 -10.2915616 2.2871409 0.0000000000 1.1647331643
23 5 23.4147886124 -6.5449944 -6.5449944 27.6711821 0.0000000000 1.1633408572
23 6 28.0608682139 -16.7518454 -16.7518454 -22.3984947 0.0000000000 1.0452136037
24 1 3.1661588854 80.8356179 80.8356179 0.0000000 0.0000000000 0.0567459576
24 2 4.3626284525 116.0213247 116.0213247 0.0000000 0.0000000000 0.5896799373
24 3 6.5242041152 161.5777670 161.5777670 0.0000000 0.0000000000 1.0260762640
24 4 23.2856946210 -8.0337350 -8.0337350 0.0000000 0.0000000000 1.1284879086
24 5 23.6679196393 1.4402152 1.4402152 0.0000000 0.0000000000 1.1253929059
24 6 27.1742979999 83.3554251 83.3554251 0.0000000 0.0000000000 1.0499121769
25 1 4.3526444567 70.7126505 70.7126505 70.7126505 0.0000000000 0.0385495482
25 2 4.3526444567 73.8943471 73.8943471 73.8943471 0.0000000000 0.4011097747
25 3 8.4002854905 130.3328233 130.3328233 130.3328233 0.0368465806 1.0840462846
25 4 23.2403667855 -12.7824524 -12.7824524 -12.7824524 0.2405331442 1.1481148030
25 5 23.2403667855 -9.4996553 -9.4996553 -9.4996553 0.4563461359 1.1468416291
25 6 28.1360767942 45.5070943 45.5070943 45.5070943 1.2972031698 1.0383004705
26 1 4.3397799577 2.1156145 2.1156145 150.9702393 2.0227735601 0.2638486725
26 2 4.9002487690 18.6984774 18.6984774 138.0222023 2.4101911614 0.5828035053
26 3 7.5363435474 94.5468499 94.5468499 160.5499757 3.0809612160 0.9815824307
26 4 23.3418796536 -8.8740954 -8.8740954 -16.4918486 1.5857536211 1.1536674471
26 5 23.4526559822 -4.8955861 -4.8955861 -5.2981712 0.4719656284 1.1522070764
26 6 27.7178207505 35.5802740 35.5802740 75.2401282 0.2595458376 1.0443184751
27 1 6.0894879616 0.0000000 0.0000000 117.3232943 0.0537012787 0.5399191193
27 2 6.0894880919 0.0000000 0.0000000 139.1052436 0.0000664817 0.5267417389
27 3 8.2517343569 0.0000000 0.0000000 185.8102235 0.0001595571 0.9330806275
27 4 23.2219869200 0.0000000 0.0000000 -27.4497709 0.0002927369 1.1831122714
27 5 23.2219869542 0.0000000 0.0000000 -21.7379024 0.0004660209 1.1796010776
27 6 28.1990769102 0.0000000 0.0000000 47.5220692 0.0006794093 1.0413107398
28 1 7.2318181156 -0.6617339 -0.6617339 105.3095633 0.0060797109 0.4113747678
28 2 7.3968655944 -5.2894124 -5.2894124 125.5661340 0.0528323422 0.5042756751
28 3 10.6657507028 -50.9437323 -50.9437323 148.2172614 0.1262719162 0.9266059253
