kpoint_index bandID energy groupVel_x groupVel_y groupVel_z DOS fermiEnergy
Max kpoint index: 216
Max bandID: 3
24 2 0.476043 -0.267442 0.975327 -0.267442 2.000000000000000 0.476043
24 3 0.549760 -0.211032 0.233481 -0.211033 3.000000000000000 0.549760
25 1 0.228116 0.702358 0.702358 0.702358 1.000000000000000 0.228116
25 2 0.616683 -0.080510 -0.080510 -0.080510 2.000000000000000 0.616683
25 3 0.616683 0.240825 0.240826 0.240826 3.000000000000000 0.616683
26 1 0.172334 0.458315 0.758135 0.458315 1.000000000000000 0.172334
26 2 0.444291 0.457423 -0.933736 0.457423 2.000000000000000 0.444291
26 3 0.593929 0.250358 -0.027457 0.250359 3.000000000000000 0.593929
27 1 0.164166 0.164987 0.000000 0.164987 1.000000000000000 0.164166
27 2 0.263719 0.177010 0.000000 0.177010 2.000000000000000 0.263719
27 3 0.518675 0.266447 0.000000 0.266447 3.000000000000000 0.518675
28 1 0.179809 -0.121331 0.603767 -0.121331 1.000000000000000 0.179809
28 2 0.358815 -0.425658 0.470808 -0.425657 2.000000000000000 0.358815
28 3 0.474162 0.147007 0.157874 0.147007 3.000000000000000 0.474162
29 1 0.313491 -0.000000 1.050227 0.000000 1.000000000000000 0.313491
29 2 0.486709 -0.000000 0.320292 0.000000 2.000000000000000 0.486709
29 3 0.486709 -0.000000 0.320292 0.000000 3.000000000000000 0.486709
30 1 0.332032 0.713038 0.643608 0.713038 1.000000000000000 0.332032
30 2 0.547572 -0.108670 0.782100 -0.108669 2.000000000000000 0.547572
30 3 0.550560 -0.108695 0.418346 -0.108696 3.000000000000000 0.550560
31 1 0.507468 0.717862 0.717862 0.717862 1.000000000000000 0.507468
31 2 0.654765 -0.084876 -0.084876 -0.084876 2.000000000000000 0.654765
31 3 0.654765 0.292622 0.292621 0.292621 3.000000000000000 0.654765
32 1 0.396379 0.706518 -0.000000 0.706518 1.000000000000000 0.396379
32 2 0.499625 0.557896 0.000000 0.557896 2.000000000000000 0.499625
32 3 0.651064 0.157960 -0.000000 0.157960 3.000000000000000 0.651064
33 1 0.172334 0.458315 -0.758135 0.458315 1.000000000000000 0.172334
33 2 0.444291 0.457423 0.933736 0.457423 2.000000000000000 0.444291
33 3 0.593929 0.250359 0.027457 0.250358 3.000000000000000 0.593929
34 1 0.109051 -0.476524 0.150024 -0.476524 1.000000000000000 0.109051
34 2 0.476043 0.267442 0.975327 0.267442 2.000000000000000 0.476043
34 3 0.549760 0.211033 0.233481 0.211032 3.000000000000000 0.549760
35 1 0.332032 -0.713038 0.643608 -0.713038 1.000000000000000 0.332032
35 2 0.547572 0.108669 0.782100 0.108670 2.000000000000000 0.547572
35 3 0.550560 0.108696 0.418346 0.108695 3.000000000000000 0.550560
36 1 0.551488 0.000000 0.806495 -0.000000 1.000000000000000 0.551488
36 2 0.597427 0.000000 0.503184 -0.000000 2.000000000000000 0.597427
36 3 0.597427 0.000000 0.503184 -0.000000 3.000000000000000 0.597427
37 1 0.507468 0.717862 0.717862 -0.717862 1.000000000000000 0.507468
37 2 0.654765 -0.084876 -0.084876 -0.292621 2.000000000000000 0.654765
37 3 0.654765 0.292621 0.292622 0.084876 3.000000000000000 0.654765
38 1 0.551488 0.806495 0.000000 0.000000 1.000000000000000 0.551488
38 2 0.597427 0.503184 0.000000 0.000000 2.000000000000000 0.597427
